C1_00010W_A	C1_00010W_B
C4_05800C_A	C4_05800C_B
C4_05810W_A	C4_05810W_B
C4_05820W_A	C4_05820W_B
C4_05830W_A	C4_05830W_B
C4_05840W_A	C4_05840W_B
C4_05850C_A	C4_05850C_B
C4_05860W_A	C4_05860W_B
C4_05880W_A	C4_05880W_B
C4_05890W_A	C4_05890W_B
C4_05900C_A	C4_05900C_B
C4_05910C_A	C4_05910C_B
C4_05920C_A	C4_05920C_B
C4_05940W_A	C4_05940W_B
C4_05960W_A	C4_05960W_B
C4_05970W_A	C4_05970W_B
C4_05980C_A	C4_05980C_B
C4_06000W_A	C4_06000W_B
C4_06020C_A	C4_06020C_B
C4_06030W_A	C4_06030W_B
C4_06040W_A	C4_06040W_B
C4_06050W_A	C4_06050W_B
C4_06060W_A	C4_06060W_B
C4_06070C_A	C4_06070C_B
C4_06080W_A	C4_06080W_B
C4_06090C_A	C4_06090C_B
C4_06100W_A	C4_06100W_B
C4_06110C_A	C4_06110C_B
C4_06120W_A	C4_06120W_B
C4_06130W_A	C4_06130W_B
C4_06140C_A	C4_06140C_B
C4_06150C_A	C4_06150C_B
C4_06160W_A	C4_06160W_B
C4_06170C_A	C4_06170C_B
C4_06190C_A	C4_06190C_B
C4_06200W_A	C4_06200W_B
C4_06210C_A	C4_06210C_B
C4_06220C_A	C4_06220C_B
C4_06230C_A	C4_06230C_B
C4_06240W_A	C4_06240W_B
C4_06250C_A	C4_06250C_B
C4_06260W_A	C4_06260W_B
C4_06270C_A	C4_06270C_B
C4_06280C_A	C4_06280C_B
C4_06290W_A	C4_06290W_B
C4_06300C_A	C4_06300C_B
C4_06310C_A	C4_06310C_B
C4_06320C_A	C4_06320C_B
C4_06340W_A	C4_06340W_B
C4_06350C_A	C4_06350C_B
C4_06360C_A	C4_06360C_B
C4_06370C_A	C4_06370C_B
C4_06380W_A	C4_06380W_B
C4_06390W_A	C4_06390W_B
C4_06400C_A	C4_06400C_B
C4_06410W_A	C4_06410W_B
C4_06420W_A	C4_06420W_B
C4_06430C_A	C4_06430C_B
C4_06440C_A	C4_06440C_B
C4_06450W_A	C4_06450W_B
C4_06460C_A	C4_06460C_B
C4_06470W_A	C4_06470W_B
C4_06480C_A	C4_06480C_B
C4_06490C_A	C4_06490C_B
C4_06500W_A	C4_06500W_B
C4_06510C_A	C4_06510C_B
C4_06530C_A	C4_06530C_B
C4_06540W_A	C4_06540W_B
C4_06550C_A	C4_06550C_B
C4_06560W_A	C4_06560W_B
C4_06570C_A	C4_06570C_B
C4_06580W_A	C4_06580W_B
C4_06590W_A	C4_06590W_B
C4_06600W_A	C4_06600W_B
C4_06610C_A	C4_06610C_B
C4_06620C_A	C4_06620C_B
C4_06630C_A	C4_06630C_B
C4_06640C_A	C4_06640C_B
C4_06650W_A	C4_06650W_B
C4_06670W_A	C4_06670W_B
C4_06680C_A	C4_06680C_B
C4_06690C_A	C4_06690C_B
C4_06710W_A	C4_06710W_B
C4_06720W_A	C4_06720W_B
C4_06730C_A	C4_06730C_B
C4_06740C_A	C4_06740C_B
C4_06750C_A	C4_06750C_B
C4_06760W_A	C4_06760W_B
C4_06770W_A	C4_06770W_B
C4_06780C_A	C4_06780C_B
C4_06790W_A	C4_06790W_B
C4_06800W_A	C4_06800W_B
C4_06810C_A	C4_06810C_B
C4_06820C_A	C4_06820C_B
C4_06830C_A	C4_06830C_B
C4_06840W_A	C4_06840W_B
C4_06850C_A	C4_06850C_B
C4_06860C_A	C4_06860C_B
C4_06870W_A	C4_06870W_B
C4_06880C_A	C4_06880C_B
C4_06890W_A	C4_06890W_B
C4_06900W_A	C4_06900W_B
C4_06910W_A	C4_06910W_B
C4_06920C_A	C4_06920C_B
C4_06930C_A	C4_06930C_B
C4_06940C_A	C4_06940C_B
C4_06950W_A	C4_06950W_B
C4_06960W_A	C4_06960W_B
C4_06970C_A	C4_06970C_B
C4_06980W_A	C4_06980W_B
C4_06990W_A	C4_06990W_B
C4_07000W_A	C4_07000W_B
C4_07010C_A	C4_07010C_B
C4_07020C_A	C4_07020C_B
C4_07030W_A	C4_07030W_B
C4_07040W_A	C4_07040W_B
C4_07050W_A	C4_07050W_B
C4_07060W_A	C4_07060W_B
C4_07070W_A	C4_07070W_B
C4_07080C_A	C4_07080C_B
C4_07090C_A	C4_07090C_B
C4_07100C_A	C4_07100C_B
C4_07110C_A	C4_07110C_B
C4_07120C_A	C4_07120C_B
C4_07130W_A	C4_07130W_B
C4_07140W_A	C4_07140W_B
C4_07150W_A	C4_07150W_B
C4_07160W_A	C4_07160W_B
C4_07170C_A	C4_07170C_B
C4_07190W_A	C4_07190W_B
C4_07200C_A	C4_07200C_B
C4_07210W_A	C4_07210W_B
C4_07220C_A	C4_07220C_B
C4_07230C_A	C4_07230C_B
C4_07240W_A	C4_07240W_B
C5_00030W_A	C5_00030W_B
C5_00040C_A	C5_00040C_B
C5_00050W_A	C5_00050W_B
C5_00060C_A	C5_00060C_B
C5_00070W_A	C5_00070W_B
C5_00080C_A	C5_00080C_B
C5_00090C_A	C5_00090C_B
C5_00100C_A	C5_00100C_B
C5_00110C_A	C5_00110C_B
C5_00120W_A	C5_00120W_B
C5_00130C_A	C5_00130C_B
C5_00140C_A	C5_00140C_B
C5_00150C_A	C5_00150C_B
C5_00160W_A	C5_00160W_B
C5_00170W_A	C5_00170W_B
C5_00180W_A	C5_00180W_B
C5_00190C_A	C5_00190C_B
C5_00200C_A	C5_00200C_B
C5_00210C_A	C5_00210C_B
C5_00220W_A	C5_00220W_B
C5_00230C_A	C5_00230C_B
C5_00240W_A	C5_00240W_B
C5_00250C_A	C5_00250C_B
C5_00260W_A	C5_00260W_B
C5_00270W_A	C5_00270W_B
C5_00280C_A	C5_00280C_B
C5_00290W_A	C5_00290W_B
C5_00300C_A	C5_00300C_B
C5_00310C_A	C5_00310C_B
C5_00320W_A	C5_00320W_B
C5_00330C_A	C5_00330C_B
C5_00340W_A	C5_00340W_B
C5_00350C_A	C5_00350C_B
C5_00370W_A	C5_00370W_B
C5_00380W_A	C5_00380W_B
C5_00390C_A	C5_00390C_B
C5_00400C_A	C5_00400C_B
C5_00410W_A	C5_00410W_B
C5_00420C_A	C5_00420C_B
C5_00430W_A	C5_00430W_B
C5_00440C_A	C5_00440C_B
C5_00450C_A	C5_00450C_B
C5_00460C_A	C5_00460C_B
C5_00470C_A	C5_00470C_B
C5_00480C_A	C5_00480C_B
C5_00490C_A	C5_00490C_B
C5_00500W_A	C5_00500W_B
C5_00510W_A	C5_00510W_B
C5_00520W_A	C5_00520W_B
C5_00530W_A	C5_00530W_B
C5_00540C_A	C5_00540C_B
C5_00550C_A	C5_00550C_B
C5_00560W_A	C5_00560W_B
C5_00570W_A	C5_00570W_B
C5_00580W_A	C5_00580W_B
C5_00590W_A	C5_00590W_B
C5_00600C_A	C5_00600C_B
C5_00610C_A	C5_00610C_B
C5_00620W_A	C5_00620W_B
C5_00630C_A	C5_00630C_B
C5_00640C_A	C5_00640C_B
C5_00650C_A	C5_00650C_B
C5_00660C_A	C5_00660C_B
C5_00670C_A	C5_00670C_B
C5_00680W_A	C5_00680W_B
C5_00690C_A	C5_00690C_B
C5_00700C_A	C5_00700C_B
C5_00730W_A	C5_00730W_B
C5_00740W_A	C5_00740W_B
C5_00750C_A	C5_00750C_B
C5_00760W_A	C5_00760W_B
C5_00770C_A	C5_00770C_B
C5_00780C_A	C5_00780C_B
C5_00790C_A	C5_00790C_B
C5_00800C_A	C5_00800C_B
C5_00810C_A	C5_00810C_B
C5_00820W_A	C5_00820W_B
C5_00830C_A	C5_00830C_B
C5_00840W_A	C5_00840W_B
C5_00850C_A	C5_00850C_B
C5_00860W_A	C5_00860W_B
C5_00870C_A	C5_00870C_B
C5_00880C_A	C5_00880C_B
C5_00890C_A	C5_00890C_B
C5_00900C_A	C5_00900C_B
C5_00910C_A	C5_00910C_B
C5_00920W_A	C5_00920W_B
C5_00930C_A	C5_00930C_B
C5_00940C_A	C5_00940C_B
C5_00950C_A	C5_00950C_B
C5_00980W_A	C5_00980W_B
C5_01000C_A	C5_01000C_B
C5_01010W_A	C5_01010W_B
C5_01020C_A	C5_01020C_B
C5_01040W_A	C5_01040W_B
C5_01050C_A	C5_01050C_B
C5_01060C_A	C5_01060C_B
C5_01070C_A	C5_01070C_B
C5_01080C_A	C5_01080C_B
C5_01090C_A	C5_01090C_B
C5_01100C_A	C5_01100C_B
C5_01110W_A	C5_01110W_B
C5_01130W_A	C5_01130W_B
C5_01140C_A	C5_01140C_B
C5_01170W_A	C5_01170W_B
C5_01180W_A	C5_01180W_B
C5_01190W_A	C5_01190W_B
C5_01200W_A	C5_01200W_B
C5_01210W_A	C5_01210W_B
C5_01220W_A	C5_01220W_B
C5_01230C_A	C5_01230C_B
C5_01240W_A	C5_01240W_B
C5_01250W_A	C5_01250W_B
C5_01260W_A	C5_01260W_B
C5_01270W_A	C5_01270W_B
C5_01280C_A	C5_01280C_B
C5_01290C_A	C5_01290C_B
C5_01300C_A	C5_01300C_B
C5_01310W_A	C5_01310W_B
C5_01320W_A	C5_01320W_B
C5_01330W_A	C5_01330W_B
C5_01340W_A	C5_01340W_B
C5_01350W_A	C5_01350W_B
C5_01360W_A	C5_01360W_B
C5_01380W_A	C5_01380W_B
C5_01390C_A	C5_01390C_B
C5_01400W_A	C5_01400W_B
C5_01410C_A	C5_01410C_B
C5_01420W_A	C5_01420W_B
C5_01430C_A	C5_01430C_B
C5_01440C_A	C5_01440C_B
C5_01450W_A	C5_01450W_B
C5_01460W_A	C5_01460W_B
C5_01470C_A	C5_01470C_B
C5_01480W_A	C5_01480W_B
C5_01490C_A	C5_01490C_B
C5_01500C_A	C5_01500C_B
C5_01510W_A	C5_01510W_B
C5_01520C_A	C5_01520C_B
C5_01530C_A	C5_01530C_B
C5_01540W_A	C5_01540W_B
C5_01550C_A	C5_01550C_B
C5_01560C_A	C5_01560C_B
C5_01570C_A	C5_01570C_B
C5_01580C_A	C5_01580C_B
C5_01590W_A	C5_01590W_B
C5_01600C_A	C5_01600C_B
C5_01610W_A	C5_01610W_B
C5_01620C_A	C5_01620C_B
C5_01640W_A	C5_01640W_B
C5_01650C_A	C5_01650C_B
C5_01670W_A	C5_01670W_B
C5_01680C_A	C5_01680C_B
C5_01690C_A	C5_01690C_B
C5_01700W_A	C5_01700W_B
C5_01710C_A	C5_01710C_B
C5_01720C_A	C5_01720C_B
C5_01730W_A	C5_01730W_B
C5_01800C_A	C5_01800C_B
C5_01810W_A	C5_01810W_B
C5_01820W_A	C5_01820W_B
C5_01830C_A	C5_01830C_B
C5_01840C_A	C5_01840C_B
C5_01850C_A	C5_01850C_B
C5_01860W_A	C5_01860W_B
C5_01870W_A	C5_01870W_B
C5_01880C_A	C5_01880C_B
C5_01890W_A	C5_01890W_B
C5_01900C_A	C5_01900C_B
C5_01910W_A	C5_01910W_B
C5_01920C_A	C5_01920C_B
C5_01930W_A	C5_01930W_B
C5_01940W_A	C5_01940W_B
C5_01950C_A	C5_01950C_B
C5_01960C_A	C5_01960C_B
C5_01970C_A	C5_01970C_B
C5_01980C_A	C5_01980C_B
C5_02000C_A	C5_02000C_B
C5_02010C_A	C5_02010C_B
C5_02020C_A	C5_02020C_B
C5_02030W_A	C5_02030W_B
C5_02040W_A	C5_02040W_B
C5_02050W_A	C5_02050W_B
C5_02060W_A	C5_02060W_B
C5_02070C_A	C5_02070C_B
C5_02080C_A	C5_02110W_B	C5_02110W_A	C5_02080C_B
C5_02090W_A	C5_02090W_B
C5_02120C_A	C5_02120C_B
C5_02130W_A	C5_02130W_B
C5_02140C_A	C5_02140C_B
C5_02150C_A	C5_02150C_B
C5_02160W_A	C5_02160W_B
C5_02170C_A	C5_02170C_B
C5_02180C_A	C5_02180C_B
C5_02190C_A	C5_02190C_B
C5_02200W_A	C5_02200W_B
C5_02210W_A	C5_02210W_B
C5_02220C_A	C5_02220C_B
C5_02230W_A	C5_02230W_B
C5_02240W_A	C5_02240W_B
C5_02260C_A	C5_02260C_B
C5_02270W_A	C5_02270W_B
C5_02280C_A	C5_02280C_B
C5_02290W_A	C5_02290W_B
C5_02300C_A	C5_02300C_B
C5_02310C_A	C5_02310C_B
C5_02320C_A	C5_02320C_B
C5_02330W_A	C5_02330W_B
C5_02340C_A	C5_02340C_B
C5_02350C_A	C5_02350C_B
C5_02360C_A	C5_02360C_B
C5_02370C_A	C5_02370C_B
C5_02380W_A	C5_02380W_B
C5_02390C_A	C5_02390C_B
C5_02400W_A	C5_02400W_B
C5_02410C_A	C5_02410C_B
C5_02430W_A	C5_02430W_B
C5_02440C_A	C5_02440C_B
C5_02450W_A	C5_02450W_B
C5_02460C_A	C5_02460C_B
C5_02470W_A	C5_02470W_B
C5_02490C_A	C5_02490C_B
C5_02500C_A	C5_02500C_B
C5_02510C_A	C5_02510C_B
C5_02520W_A	C5_02520W_B
C5_02530W_A	C5_02530W_B
C5_02540C_A	C5_02540C_B
C5_02550C_A	C5_02550C_B
C5_02560C_A	C5_02560C_B
C5_02570W_A	C5_02570W_B
C5_02580W_A	C5_02580W_B
C5_02590C_A	C5_02590C_B
C5_02600W_A	C5_02600W_B
C5_02620C_A	C5_02620C_B
C5_02630C_A	C5_02630C_B
C5_02640W_A	C5_02640W_B
C5_02650C_A	C5_02650C_B
C5_02660C_A	C5_02660C_B
C5_02670W_A	C5_02670W_B
C5_02680W_A	C5_02680W_B
C5_02690W_A	C5_02690W_B
C5_02700W_A	C5_02700W_B
C5_02710W_A	C5_02710W_B
C5_02720W_A	C5_02720W_B
C5_02730C_A	C5_02730C_B
C5_02740W_A	C5_02740W_B
C5_02750C_A	C5_02750C_B
C5_02760W_A	C5_02760W_B
C5_02770W_A	C5_02770W_B
C5_02780W_A	C5_02780W_B
C5_02790C_A	C5_02790C_B
C5_02800C_A	C5_02800C_B
C5_02810W_A	C5_02810W_B
C5_02820C_A	C5_02820C_B
C5_02830W_A	C5_02830W_B
C5_02840C_A	C5_02840C_B
C5_02860C_A	C5_02860C_B
C5_02870C_A	C5_02870C_B
C5_02890W_A	C5_02890W_B
C5_02910C_A	C5_02910C_B
C5_02920W_A	C5_02920W_B
C5_02930C_A	C5_02930C_B
C5_02940C_A	C5_02940C_B
C5_02950C_A	C5_02950C_B
C5_02960C_A	C5_02960C_B
C5_02970W_A	C5_02970W_B
C5_02980C_A	C5_02980C_B
C5_02990W_A	C5_02990W_B
C5_03000C_A	C5_03000C_B
C5_03010W_A	C5_03010W_B
C5_03020W_A	C5_03020W_B
C5_03030W_A	C5_03030W_B
C5_03040W_A	C5_03040W_B
C5_03050C_A	C5_03050C_B
C5_03060C_A	C5_03060C_B
C5_03070W_A	C5_03070W_B
C5_03080C_A	C5_03080C_B
C5_03090W_A	C5_03090W_B
C5_03100C_A	C5_03100C_B
C5_03110C_A	C5_03110C_B
C5_03120W_A	C5_03120W_B
C5_03130W_A	C5_03130W_B
C5_03140C_A	C5_03140C_B
C5_03150W_A	C5_03150W_B
C5_03160W_A	C5_03160W_B
C5_03170C_A	C5_03170C_B
C5_03240W_A	C5_03240W_B
C5_03250W_A	C5_03250W_B
C5_03260C_A	C5_03260C_B
C5_03270W_A	C5_03270W_B
C5_03280W_A	C5_03280W_B
C5_03290C_A	C5_03290C_B
C5_03300C_A	C5_03300C_B
C5_03310C_A	C5_03310C_B
C5_03320C_A	C5_03320C_B
C5_03330C_A	C5_03330C_B
C5_03340W_A	C5_03340W_B
C5_03350W_A	C5_03350W_B
C5_03360W_A	C5_03360W_B
C5_03370C_A	C5_03370C_B
C5_03380W_A	C5_03380W_B
C5_03390C_A	C5_03390C_B
C5_03400C_A	C5_03400C_B
C5_03410C_A	C5_03410C_B
C5_03430W_A	C5_03430W_B
C5_03440W_A	C5_03440W_B
C5_03460C_A	C5_03460C_B
C5_03470C_A	C5_03470C_B
C5_03480C_A	C5_03480C_B
C5_03490C_A	C5_03490C_B
C5_03500W_A	C5_03500W_B
C5_03510C_A	C5_03510C_B
C5_03520W_A	C5_03520W_B
C5_03530C_A	C5_03530C_B
C5_03540C_A	C5_03540C_B
C5_03550W_A	C5_03550W_B
C5_03560W_A	C5_03560W_B
C5_03580C_A	C5_03580C_B
C5_03590W_A	C5_03590W_B
C5_03600W_A	C5_03600W_B
C5_03610W_A	C5_03610W_B
C5_03620W_A	C5_03620W_B
C5_03640W_A	C5_03640W_B	C5_03700C_A	C5_03700C_B
C5_03650C_A	C5_03650C_B
C5_03670C_A	C5_03670C_B
C5_03680W_A	C5_03680W_B
C5_03690W_A	C5_03690W_B
C5_03710C_A	C5_03710C_B
C5_03720C_A	C5_03720C_B
C5_03730W_A	C5_03730W_B
C5_03740W_A	C5_03740W_B
C5_03750W_A	C5_03750W_B
C5_03760C_A	C5_03760C_B
C5_03770C_A	C5_03770C_B
C5_03780C_A	C5_03780C_B
C5_03790W_A	C5_03790W_B
C5_03800W_A	C5_03800W_B
C5_03810C_A	C5_03810C_B
C5_03820C_A	C5_03820C_B
C5_03830C_A	C5_03830C_B
C5_03840W_A	C5_03840W_B
C5_03850W_A	C5_03850W_B
C5_03860W_A	C5_03860W_B
C5_03870C_A	C5_03870C_B
C5_03880C_A	C5_03880C_B
C5_03890C_A	C5_03890C_B
C5_03900W_A	C5_03900W_B
C5_03910C_A	C5_03910C_B
C5_03920C_A	C5_03920C_B
C5_03930C_A	C5_03930C_B
C5_03950W_A	C5_03950W_B
C5_03960W_A	C5_03960W_B
C5_03970W_A	C5_03970W_B
C5_03980W_A	C5_03980W_B
C5_03990W_A	C5_03990W_B
C5_04000W_A	C5_04000W_B
C5_04010C_A	C5_04010C_B
C5_04020C_A	C5_04020C_B
C5_04030W_A	C5_04030W_B
C5_04040C_A	C5_04040C_B
C5_04050W_A	C5_04050W_B
C5_04060C_A	C5_04060C_B
C5_04070C_A	C5_04070C_B
C5_04080C_A	C5_04080C_B
C5_04090C_A	C5_04090C_B
C5_04100W_A	C5_04100W_B
C5_04110W_A	C5_04110W_B
C5_04120C_A	C5_04120C_B
C5_04130C_A	C5_04130C_B
C5_04140W_A	C5_04140W_B
C5_04150C_A	C5_04150C_B
C5_04160W_A	C5_04160W_B
C5_04170W_A	C5_04170W_B
C5_04180W_A	C5_04180W_B
C5_04190W_A	C5_04190W_B
C5_04200W_A	C5_04200W_B
C5_04210C_A	C5_04210C_B
C5_04220W_A	C5_04220W_B
C5_04230W_A	C5_04230W_B
C5_04250W_A	C5_04250W_B
C5_04260W_A	C5_04260W_B
C5_04270C_A	C5_04270C_B
C5_04280C_A	C5_04280C_B
C5_04290C_A	C5_04290C_B
C5_04300C_A	C5_04300C_B
C5_04310W_A	C5_04310W_B
C5_04320C_A	C5_04320C_B
C5_04330W_A	C5_04330W_B
C5_04340W_A	C5_04340W_B
C5_04350C_A	C5_04350C_B
C5_04360C_A	C5_04360C_B
C5_04370C_A	C5_04370C_B
C5_04380C_A	C5_04380C_B
C5_04390C_A	C5_04390C_B
C5_04400W_A	C5_04400W_B
C5_04410C_A	C5_04410C_B
C5_04420W_A	C5_04420W_B
C5_04430C_A	C5_04430C_B
C5_04440C_A	C5_04440C_B
C5_04460C_A	C5_04460C_B
C5_04470C_A	C5_04470C_B
C5_04480C_A	C5_04480C_B
C5_04490C_A	C5_04490C_B
C5_04500W_A	C5_04500W_B
C5_04510W_A	C5_04510W_B
C5_04520W_A	C5_04520W_B
C5_04530W_A	C5_04530W_B
C5_04540C_A	C5_04540C_B
C5_04550W_A	C5_04550W_B
C5_04560C_A	C5_04560C_B
C5_04570C_A	C5_04570C_B
C5_04580C_A	C5_04580C_B
C5_04590C_A	C5_04590C_B
C5_04600C_A	C5_04600C_B
C5_04610W_A	C5_04610W_B
C5_04620C_A	C5_04620C_B
C5_04630W_A	C5_04630W_B
C5_04640C_A	C5_04640C_B
C5_04650C_A	C5_04650C_B
C5_04660C_A	C5_04660C_B
C5_04670W_A	C5_04670W_B
C5_04680W_A	C5_04680W_B
C5_04690C_A	C5_04690C_B
C5_04700C_A	C5_04700C_B
C5_04710W_A	C5_04710W_B
C5_04720C_A	C5_04720C_B
C5_04730C_A	C5_04730C_B
C5_04740C_A	C5_04740C_B
C5_04750C_A	C5_04750C_B
C5_04770W_A	C5_04770W_B
C5_04780W_A	C5_04780W_B
C5_04790C_A	C5_04790C_B
C5_04800W_A	C5_04800W_B
C5_04810W_A	C5_04810W_B
C5_04820W_A	C5_04820W_B
C5_04830W_A	C5_04830W_B
C5_04840C_A	C5_04840C_B
C5_04850W_A	C5_04850W_B
C5_04860C_A	C5_04860C_B
C5_04870W_A	C5_04870W_B
C5_04880C_A	C5_04880C_B
C5_04890C_A	C5_04890C_B
C5_04900C_A	C5_04900C_B
C5_04910W_A	C5_04910W_B
C5_04920C_A	C5_04920C_B
C5_04930C_A	C5_04930C_B
C5_04940W_A	C5_04940W_B
C5_04950C_A	C5_04950C_B
C5_04960W_A	C5_04960W_B
C5_04970C_A	C5_04970C_B
C5_04980W_A	C5_04980W_B
C5_04990W_A	C5_04990W_B
C5_05000C_A	C5_05000C_B
C5_05010W_A	C5_05010W_B
C5_05020C_A	C5_05020C_B
C5_05030C_A	C5_05030C_B
C5_05040W_A	C5_05040W_B
C5_05050W_A	C5_05050W_B
C5_05060C_A	C5_05060C_B
C5_05070W_A	C5_05070W_B
C5_05080W_A	C5_05080W_B
C5_05090W_A	C5_05090W_B
C5_05100C_A	C5_05100C_B
C5_05110C_A	C5_05110C_B
C5_05120W_A	C5_05120W_B
C5_05130C_A	C5_05130C_B
C5_05140W_A	C5_05140W_B
C5_05150C_A	C5_05150C_B
C5_05160C_A	C5_05160C_B
C5_05170W_A	C5_05170W_B
C5_05180W_A	C5_05180W_B
C5_05190W_A	C5_05190W_B
C5_05200C_A	C5_05200C_B
C5_05210W_A	C5_05210W_B
C5_05220W_A	C5_05220W_B
C5_05230C_A	C5_05230C_B
C5_05240C_A	C5_05240C_B
C5_05250C_A	C5_05250C_B
C5_05260W_A	C5_05260W_B
C5_05270C_A	C5_05270C_B
C5_05280C_A	C5_05280C_B
C5_05290C_A	C5_05290C_B
C5_05300W_A	C5_05300W_B
C5_05310W_A	C5_05310W_B
C5_05320C_A	C5_05320C_B
C5_05330C_A	C5_05330C_B
C5_05340W_A	C5_05340W_B
C5_05350W_A	C5_05350W_B
C5_05360C_A	C5_05360C_B
C5_05370C_A	C5_05370C_B
C5_05380W_A	C5_05380W_B
C5_05390C_A	C5_05390C_B
C5_05400W_A	C5_05400W_B
C5_05410C_A	C5_05410C_B
C5_05430W_A	C5_05430W_B
C5_05440C_A	C5_05440C_B
C5_05450C_A	C5_05450C_B
C5_05460C_A	C5_05460C_B
C5_05470W_A	C5_05470W_B
C5_05480W_A	C5_05480W_B
C5_05490C_A	C5_05490C_B
C6_00010W_A	C6_00010W_B
C6_00020W_A	C6_00020W_B
C6_00070C_A	CR_00040C_A	C6_00070C_B	CR_00040C_B
C6_00080C_A	C6_00080C_B
C6_00090W_A	C6_00090W_B
C6_00100C_A	C6_00100C_B
C6_00110C_A	C6_00110C_B
C6_00120W_A	C6_00120W_B
C6_00130C_A	C6_00130C_B
C6_00140C_A	C6_00140C_B
C6_00150W_A	C6_00150W_B
C6_00160W_A	C6_00160W_B
C6_00170C_A	C6_00170C_B
C6_00180C_A	C6_00180C_B
C6_00190W_A	C6_00190W_B
C6_00200C_A	C6_00200C_B
C6_00210W_A	C6_00210W_B
C6_00230W_A	C6_00230W_B
C6_00240C_A	C6_00240C_B
C6_00250W_A	C6_00250W_B
C6_00260W_A	C6_00260W_B
C6_00270W_A	C6_00270W_B
C6_00280W_A	C6_00280W_B
C6_00290W_A	C6_00290W_B
C6_00300C_A	C6_00300C_B
C6_00310W_A	C6_00310W_B
C6_00320C_A	C6_00320C_B
C6_00330C_A	C6_00330C_B
C6_00340C_A	C6_00340C_B
C6_00350W_A	C6_00350W_B
C6_00360C_A	C6_00360C_B
C6_00370C_A	C6_00370C_B
C6_00380C_A	C6_00380C_B
C6_00390W_A	C6_00390W_B
C6_00400C_A	C6_00400C_B
C6_00410C_A	C6_00410C_B
C6_00420W_A	C6_00420W_B
C6_00430C_A	C6_00430C_B
C6_00440C_A	C6_00440C_B
C6_00450C_A	C6_00450C_B
C6_00460C_A	C6_00460C_B
C6_00470C_A	C6_00470C_B
C6_00480C_A	C6_00480C_B
C6_00490W_A	C6_00490W_B
C6_00500C_A	C6_00500C_B
C6_00510C_A	C6_00510C_B
C6_00520W_A	C6_00520W_B
C6_00530C_A	C6_00530C_B
C6_00540W_A	C6_00540W_B
C6_00550W_A	C6_00550W_B
C6_00560W_A	C6_00560W_B
C6_00570C_A	C6_00570C_B
C6_00580W_A	C6_00580W_B
C6_00590W_A	C6_00590W_B
C6_00600C_A	C6_00600C_B
C6_00610C_A	C6_00610C_B
C6_00620W_A	C6_00620W_B
C6_00630W_A	C6_00630W_B
C6_00640C_A	C6_00640C_B
C6_00650C_A	C6_00650C_B
C6_00660C_A	C6_00660C_B
C6_00670W_A	C6_00670W_B
C6_00680C_A	C6_00680C_B
C6_00690W_A	C6_00690W_B
C6_00700C_A	C6_00700C_B
C6_00710W_A	C6_00710W_B
C6_00720C_A	C6_00720C_B
C6_00730W_A	C6_00730W_B
C6_00740W_A	C6_00740W_B
C6_00750C_A	C6_00750C_B
C6_00760W_A	C6_00760W_B
C6_00770C_A	C6_00770C_B
C6_00780W_A	C6_00780W_B
C6_00790C_A	C6_00790C_B
C6_00800C_A	C6_00800C_B
C6_00810C_A	C6_00810C_B
C6_00820W_A	C6_00820W_B
C6_00830C_A	C6_00830C_B
C6_00840W_A	C6_00840W_B
C6_00850W_A	C6_00850W_B
C6_00860W_A	C6_00860W_B
C6_00870C_A	C6_00870C_B
C6_00880W_A	C6_00880W_B
C6_00890W_A	C6_00890W_B
C6_00900C_A	C6_00900C_B
C6_00910C_A	C6_00910C_B
C6_00920W_A	C6_00920W_B
C6_00930C_A	C6_00930C_B
C6_00940C_A	C6_00940C_B
C6_00950C_A	C6_00950C_B
C6_00960W_A	C6_00960W_B
C6_00970C_A	C6_00970C_B	C6_01030W_B	C6_01030W_A
C6_00980C_A	C6_00980C_B
C6_00990W_A	C6_00990W_B
C6_01000C_A	C6_01000C_B
C6_01010W_A	C6_01010W_B
C6_01020W_A	C6_01020W_B
C6_01040C_A	C6_01040C_B
C6_01050W_A	C6_01050W_B
C6_01060C_A	C6_01060C_B
C6_01070C_A	C6_01070C_B
C6_01080C_A	C6_01080C_B
C6_01090C_A	C6_01090C_B
C6_01100W_A	C6_01100W_B
C6_01110W_A	C6_01110W_B
C6_01120C_A	C6_01120C_B
C6_01130W_A	C6_01130W_B
C6_01140C_A	C6_01140C_B
C6_01150W_A	C6_01150W_B
C6_01160W_A	C6_01160W_B
C6_01170W_A	C6_01170W_B
C6_01180C_A	C6_01180C_B
C6_01190C_A	C6_01190C_B
C6_01200W_A	C6_01200W_B
C6_01210W_A	C6_01210W_B
C6_01220C_A	C6_01220C_B
C6_01250W_A	C6_01250W_B
C6_01260W_A	C6_01260W_B
C6_01280W_A	C6_01280W_B
C6_01290C_A	C6_01290C_B
C6_01300W_A	C6_01300W_B
C6_01310W_A	C6_01310W_B
C6_01320W_A	C6_01320W_B
C6_01330C_A	C6_01330C_B
C6_01340C_A	C6_01340C_B
C6_01350W_A	C6_01350W_B
C6_01360W_A	C6_01360W_B
C6_01370W_A	C6_01370W_B
C6_01380C_A	C6_01380C_B
C6_01390W_A	C6_01390W_B
C6_01400W_A	C6_01400W_B
C6_01410C_A	C6_01410C_B
C6_01420C_A	C6_01420C_B
C6_01430C_A	C6_01430C_B
C6_01440C_A	C6_01440C_B
C6_01450C_A	C6_01450C_B
C6_01460C_A	C6_01460C_B
